01/01/2018-00:00;20.9;16.3;84.8;19.7
01/01/2018-00:10;20.9;18.4;84.4;19.8
01/01/2018-00:20;21.0;18.2;84.1;19.8
01/01/2018-00:30;20.9;14.4;84.3;19.7
01/01/2018-00:40;20.8;13.3;84.9;19.7
01/01/2018-00:50;20.8;14.6;85.3;19.6
01/01/2018-01:00;20.8;18.4;85.4;19.6
01/01/2018-01:10;20.7;21.0;85.3;19.6
01/01/2018-01:20;20.8;17.4;85.1;19.6
01/01/2018-01:30;20.8;16.4;84.7;19.6
01/01/2018-01:40;20.8;15.1;84.7;19.6
01/01/2018-01:50;20.8;15.0;84.2;19.6
01/01/2018-02:00;20.8;15.3;83.5;19.7
01/01/2018-02:10;20.8;14.3;83.8;19.6
01/01/2018-02:20;20.7;16.4;83.8;19.5
01/01/2018-02:30;20.7;13.9;83.7;19.5
01/01/2018-02:40;20.7;9.9;83.7;19.5
01/01/2018-02:50;20.7;9.9;83.5;19.5
01/01/2018-03:00;20.8;9.9;83.0;19.6
01/01/2018-03:10;20.8;12.1;81.9;19.6
01/01/2018-03:20;20.8;9.8;81.7;19.6
01/01/2018-03:30;20.9;11.4;81.2;19.7
01/01/2018-03:40;20.9;10.4;81.3;19.7
01/01/2018-03:50;20.9;13.7;81.2;19.7
01/01/2018-04:00;20.8;11.6;81.8;19.6
01/01/2018-04:10;20.6;10.5;83.2;19.4
01/01/2018-04:20;20.5;10.0;83.9;19.3
01/01/2018-04:30;20.6;10.3;83.3;19.4
01/01/2018-04:40;20.6;10.3;83.1;19.4
01/01/2018-04:50;20.6;10.0;83.7;19.4
01/01/2018-05:00;20.6;10.4;84.1;19.4
01/01/2018-05:10;20.7;14.3;83.4;19.5
01/01/2018-05:20;20.7;16.3;82.9;19.5
01/01/2018-05:30;20.7;16.8;82.6;19.6
01/01/2018-05:40;20.8;16.0;82.6;19.6
01/01/2018-05:50;20.8;14.6;82.6;19.6
01/01/2018-06:00;20.7;14.1;82.6;19.5
01/01/2018-06:10;20.7;15.4;82.6;19.5
01/01/2018-06:20;20.7;15.5;82.8;19.5
01/01/2018-06:30;20.6;19.3;83.0;19.4
01/01/2018-06:40;20.5;16.6;83.5;19.3
01/01/2018-06:50;20.5;15.7;83.9;19.3
01/01/2018-07:00;20.5;16.2;84.1;19.3
01/01/2018-07:10;20.4;20.5;84.3;19.2
01/01/2018-07:20;20.4;20.1;84.1;19.2
01/01/2018-07:30;20.4;16.5;84.4;19.2
01/01/2018-07:40;20.4;14.8;84.8;19.2
01/01/2018-07:50;20.4;16.3;85.0;19.2
01/01/2018-08:00;20.4;16.5;84.8;19.2
01/01/2018-08:10;20.5;13.5;84.6;19.3
01/01/2018-08:20;20.5;18.0;84.3;19.3
01/01/2018-08:30;20.6;17.1;84.0;19.4
01/01/2018-08:40;20.7;18.5;83.8;19.5
01/01/2018-08:50;20.8;20.4;83.6;19.6
01/01/2018-09:00;20.9;22.4;83.6;19.7
01/01/2018-09:10;21.0;22.8;83.7;19.8
01/01/2018-09:20;21.2;22.0;83.5;20.0
01/01/2018-09:30;20.9;26.8;84.2;19.8
01/01/2018-09:40;20.8;24.9;84.9;19.7
01/01/2018-09:50;20.9;27.6;84.9;19.7
01/01/2018-10:00;21.0;25.0;85.0;19.8
01/01/2018-10:10;21.2;21.7;84.0;20.0
01/01/2018-10:20;21.5;23.2;81.9;20.3
01/01/2018-10:30;21.9;20.1;81.3;20.8
01/01/2018-10:40;22.5;19.5;80.0;21.4
01/01/2018-10:50;22.3;24.5;79.2;21.2
01/01/2018-11:00;22.2;22.7;80.8;21.0
01/01/2018-11:10;22.6;25.8;80.0;21.5
